attribute 0,attribute 1,attribute 2,attribute 3,attribute 4,attribute 5,attribute 6,attribute 7,attribute 8,attribute 9
8.353046105,-0.623560009,0.166936554,1.028592486,-0.454244341,1.213463394,-0.861548048,-0.533860616,0.397647923,-0.149413782
-0.154148699,-0.140346844,0.576002854,-0.18640802,-0.135696594,-0.037827403,0.11504373,0.736500553,-0.32443154,-1.1360693
-11.15916186,-1.502447081,-0.275254036,-1.543315175,1.310684575,-0.453203767,-1.302487411,-1.289505258,0.49873844,0.419707203
-4.765333725,-0.470268518,0.593717292,1.505893762,-0.920115348,-1.351260276,1.023137133,-0.818047025,0.451980599,0.429231963
-6.301301898,-1.831503863,0.688888679,0.852966329,0.012867171,2.093542654,0.742585192,0.598595716,-1.432784185,0.38889026
7.95969794,-0.211867798,-0.351519177,0.440666298,-0.395922993,0.353907007,0.245404194,0.397889034,-1.007007633,-0.097396204
-0.391140507,2.528583782,7.490465808,-2.655559161,-4.628181383,1.263497638,1.466647059,-1.90708589,0.384589897,0.609924573
0.04238608,-0.209399167,-0.821003723,-0.423024911,0.149711223,-0.279852838,0.880620761,0.879627857,0.376310451,0.665667967
5.056607196,0.196628594,-0.126874535,1.261535989,0.723250093,-1.676658184,-1.474324931,-0.505964429,1.28243543,-0.464764947
-0.53382757,5.867330049,5.965333264,0.490121167,0.810289637,-0.080494563,-0.234413478,2.688417889,-0.758775448,0.576441433
-6.634518814,-1.406389974,-0.104940363,0.133661856,0.524867217,-0.192480312,0.074982859,0.030000104,1.414182422,-0.383208664
-10.27244155,-0.484846998,-0.931565492,-1.386318656,0.881898859,-0.386493838,0.217854187,0.734057961,-0.499603047,-0.417774903
-4.11043034,-0.792382164,1.589414977,-0.89156423,0.102043974,1.230635089,0.82634258,-0.161779501,0.766045955,0.21906224
9.422279951,-1.1864652,0.643780328,0.771201676,-0.157365778,0.636567934,-0.873507479,0.062307112,-0.345454417,-0.0538455
2.381104693,-0.56191308,-0.49802251,-2.258982945,1.651929004,-0.015050466,-1.033182934,0.026164972,-0.033655359,0.943642095
-6.050634174,-0.683201638,-0.828606541,-0.805293122,0.505344749,-0.336538213,0.359183479,0.54221668,-0.907174262,1.186575694
6.494662014,0.816596111,1.116838035,0.892442047,-0.666146673,0.469968393,0.517311898,0.046897518,0.147952335,0.230631483
-4.358194656,-0.540130879,-0.711480682,-1.180234436,0.058211256,-0.228467193,-0.928492494,-0.218918266,0.721517948,1.524489185
-6.391707986,-1.110435801,-0.273701113,-0.702232103,0.3036626,-0.874510845,1.729422363,0.174792974,0.195440017,1.416265145
6.904568798,0.090907009,-0.144659523,1.010441845,-0.06556308,0.872512654,0.979814443,0.076045919,0.681356909,0.355747128
4.956112972,-1.766167789,-0.586665294,-2.653066711,1.678987107,0.677061061,-0.750691259,-0.419181804,-1.508670056,0.310629435
0.3298813,6.611044675,0.308828952,2.245361582,3.586878854,-0.222012362,1.116610404,-1.140857486,-0.06279568,0.086723009
0.253858725,4.695341717,-5.57239418,-1.963438474,-2.776530491,-0.025699846,0.190439343,3.043582048,0.112549268,1.063588721
-0.15532893,-1.13998268,-0.174004463,0.029248832,0.112437095,-0.677641733,0.340171322,0.455116139,-1.144706446,-0.503032681
-4.527354082,0.209679673,0.934020688,1.949809095,-1.105308651,-1.817939459,0.431098128,0.402786449,-0.662679863,0.065982747
0.533908012,-0.441194088,0.521343633,0.545992589,-0.968457803,0.550219984,-0.980874271,-0.207498681,0.449840848,0.750759017
6.033717759,-1.132620271,0.178338503,0.195929201,-0.313099774,0.477437199,-0.190274792,-0.669855824,0.653130117,-1.099221865
4.995615397,-1.373319004,0.572943099,-2.69410877,0.365729153,1.450276051,-0.542282059,0.616972898,0.730854109,-0.215527834
7.599195608,-0.894497899,0.054391855,0.953897666,-0.209054798,0.199937605,0.360095361,-0.106988151,1.525172588,-0.883165042
9.22946227,-0.462643812,1.217999702,0.827257773,-0.516301297,0.135665048,-0.224456318,-0.449152144,0.904589944,-0.71572015
4.891836046,-1.329660786,-0.669914771,0.30265358,-0.300060593,-0.170329457,-1.237407376,0.122352056,-0.548656627,-1.673953538
-4.732690866,-1.628593083,0.380410375,2.849495804,-1.391318853,-0.775423385,1.932090893,0.030783364,0.459453663,-0.02168266
0.718023203,5.717700317,4.075379208,1.70307742,1.560731564,-0.366992472,0.650172389,2.984268944,0.951872303,0.773608836
-8.921812,-0.727872196,-0.488942376,-1.589719952,0.41798498,-1.024034291,-1.523184941,-0.611467409,-1.329626624,0.648873118
-7.621141678,-0.685885918,0.065701845,2.159546565,0.861492629,1.764603323,0.255941197,-0.424813267,0.525170915,0.234295643
4.977608769,-1.520275006,-0.79404308,-3.175008623,1.945189187,0.580546271,1.699194896,-0.08683874,-0.892779804,-0.850419603
2.579642241,-0.387886853,0.539159815,-1.976401709,0.6911609,0.168226271,-0.97883144,-1.650822869,1.230434109,-0.104971394
6.745521786,-0.249460191,-0.508044315,0.004779339,-0.075492823,0.38841719,0.826520671,0.85443324,-0.673993816,-0.035050815
-6.326360933,-0.189884995,-0.680394735,2.297558938,-2.260594752,1.827396747,0.153494058,0.686844852,-0.829052038,0.655139467
-4.702927695,-1.929926921,-0.257705135,0.105887512,0.099369247,-0.82026993,-0.605973482,-0.310238144,-1.638411268,-0.997351432
-9.959394779,-2.575392367,1.015394335,-0.411642637,-0.433995598,4.406670653,1.962493206,1.970582946,-1.008478134,1.629403937
