attribute 0,attribute 1,attribute 2,attribute 3,attribute 4,attribute 5,attribute 6,attribute 7,attribute 8,attribute 9,attribute 10,attribute 11,attribute 12,attribute 13,attribute 14,attribute 15,attribute 16,attribute 17,attribute 18,attribute 19
8.567695784,-1.157038503,0.303951396,1.105564255,-0.631620591,1.071215942,-0.699097809,-0.543054472,0.671628629,-0.904522656,0.564779338,0.754693185,-0.356021561,0.083085778,-0.648854061,1.030760812,-0.159904592,0.37052305,-0.118609555,-1.084855593
-5.379507562,-0.637397914,-0.044374454,-0.33734421,0.258675293,-0.514683823,1.441694403,0.037426957,-0.428445707,0.929873397,-0.22708537,0.154806057,-0.331241985,0.58236239,0.118467783,0.906424691,0.118050919,-1.329072837,0.598283046,-0.172932162
0.128517408,-0.7776127,-1.356212215,-0.708280139,-0.158794851,0.055824474,-0.766214706,-0.372709265,-0.966811194,0.268664144,-0.309513909,1.468839601,0.896473254,1.520380239,0.48088314,0.79516997,0.332113643,-0.035454995,-0.852931147,0.359339642
-8.975543159,-1.858151126,-0.30557986,-0.993329468,0.952358771,-0.712994108,0.013835462,-0.700319315,0.098504474,-0.958059725,0.562465814,0.388850635,-0.236931686,0.514902044,0.319193479,-0.28650828,-0.793093096,-1.069036013,0.153047865,0.744044648
0.183265198,7.428317868,3.960778358,2.485743998,4.520133993,-0.730847388,0.666417127,1.8402322,0.655361546,-0.789554638,-1.126142182,0.43368619,1.451599645,0.39501814,0.745929366,0.780302285,-0.85301306,-0.765931262,0.054763563,0.30212044
0.384263872,6.4825349,-3.640928075,0.892588674,-0.919181039,0.943957689,2.456974696,-2.703724317,0.110973334,-0.480887478,-0.139964764,-1.34720897,0.011530625,-0.399394804,0.081520897,-0.063704201,-0.231871822,-0.380916203,-0.07546751,0.674165306
2.553874764,-0.621181385,0.233618637,-1.480031012,0.581320109,0.878466825,-1.099728553,-0.055925887,0.32917187,0.512694444,1.559403536,1.147208002,0.498024503,0.023372836,-0.764042377,0.269163006,0.143040015,-0.164335583,-0.352730609,-0.388687287
0.078610964,-0.841608284,0.494151493,-0.405537781,0.12102243,0.520722336,-0.614697707,-0.550874663,-0.037125371,0.178591247,-1.159966473,-0.525625095,0.706694872,0.181855949,-1.337889127,-0.086235174,-0.991715858,0.260513141,1.554078395,0.149976172
0.125993014,-2.071310734,-0.513050563,0.344438569,0.184179452,-0.013426627,-0.544872127,-0.256034918,-0.333902825,0.4827525,-0.015416228,-0.672486757,-0.868976893,1.080299219,-0.294178254,-0.84988283,0.512456352,-0.483447503,-0.032095537,-0.138247994
-5.016846498,-1.794927404,-0.242398598,-0.497759353,0.549020148,-0.744178881,-1.267075731,-0.544865662,-0.266522781,-0.506659254,0.934640808,-0.376386356,-0.208073712,-1.335394386,-0.048901074,0.965463476,0.140706428,-0.698821958,0.50527173,-0.100498615
0.413120949,6.681922909,-0.25521561,1.142054247,3.314344777,-0.193599652,0.366319813,-1.190261898,-0.117594605,1.522811546,-0.809563915,1.78238429,-0.675941403,-0.945940334,-0.93032854,-0.017352913,1.272614365,-0.336285413,0.233405553,0.734667863
7.615767669,1.017147161,0.01835613,0.564426454,-0.192980091,-2.7940516,0.61895336,-0.18001524,0.009850535,0.448171875,0.189248547,0.238445763,1.093669196,-0.477339927,0.557476899,-0.58903764,0.284184683,1.477363657,-0.374138241,0.019915534
-0.762219187,6.215248043,-1.644496113,1.130052741,2.856236903,0.983267371,-0.723084824,-2.790490024,-1.10476147,-0.655245286,-0.27915741,1.339736501,-0.607865447,-1.256746484,0.278278716,0.165987506,-0.030640189,-0.585480915,0.175633652,-0.25997563
-3.74445276,-0.62896298,-0.304646905,1.167674969,0.369231973,1.983765211,-1.621555019,-0.007455519,-0.560880578,-0.416555567,-0.102753817,0.253141582,-0.797191174,0.657144326,1.061446564,0.868578244,0.057831193,0.034957221,-0.924137166,-0.042631963
6.419530084,-0.853393927,-0.418895495,1.333523073,0.34080187,0.100117936,-1.200555327,0.739915359,-0.971494144,-0.183380512,0.66375073,-0.675186331,-1.068875536,-0.129592826,0.435284969,0.058896951,-0.419953121,-0.216046891,0.821611779,0.276091979
-0.39461082,2.793940372,6.890839113,-1.509757554,-2.855829182,-1.376871927,0.919029866,-0.166187842,-0.859522186,-0.891275956,2.19350254,-0.659325024,-0.770259889,-0.817294148,-0.080615143,1.060421027,-0.066320454,-0.139737524,-0.717431172,-0.300230898
0.253858725,4.695341455,-5.572393256,-1.96339487,-2.776549701,-0.026152324,0.189482277,3.043272286,0.112935814,1.057381464,-0.561480959,-0.166664466,0.418023614,0.475245534,0.137566645,-1.410767398,0.204068742,-0.723831064,0.065696079,-0.39164612
-0.736446336,5.899768732,-1.393402341,0.34278133,0.359312675,0.263722865,1.837710033,-0.980692138,-1.513464444,0.287371348,-0.743669589,0.993749366,0.347508121,1.011810152,-0.105317603,-0.070852662,0.273164339,-0.190662609,-0.160025906,-0.240222145
-4.967036382,-2.030799641,-1.08142897,1.85459519,-1.173181678,0.609068517,-0.883499017,-0.362642226,0.513589926,-0.447030733,1.641909397,0.353268281,-0.058784481,0.11042515,0.2396441,0.156172856,0.777902509,-0.168982266,-0.502765455,-0.455142731
-0.244498492,8.078334125,-0.413261748,1.480288557,3.181626854,-0.191386215,0.852708491,-3.016129159,-1.342529188,-1.658084916,-0.024631935,1.203744998,-0.6305841,0.740080039,0.839794065,-0.628574909,1.227242477,0.144123127,-0.484277792,0.245310277
-7.703098209,-1.348987003,0.299485625,-0.481009321,-0.381648379,0.353643524,-1.096562194,-0.92774607,0.469511944,-0.72451367,-0.489994794,-0.471166953,0.174648206,-0.25727797,0.088607279,-0.756788152,-0.636722388,1.056131359,0.564129544,0.261843075
9.931373864,-0.754523868,0.371991545,1.547046445,-0.777323458,1.312752608,1.339905303,0.289304821,0.78616248,-0.196045067,-0.879765582,-0.224356334,-0.385115805,0.326725706,-0.394240818,-0.416625536,-0.054637085,0.090031713,-0.69222288,-0.190338356
