attribute 0,attribute 1,attribute 2,attribute 3,attribute 4,attribute 5,attribute 6,attribute 7,attribute 8,attribute 9,attribute 10,attribute 11,attribute 12,attribute 13,attribute 14,attribute 15,attribute 16,attribute 17,attribute 18,attribute 19,attribute 20,attribute 21,attribute 22,attribute 23,attribute 24,attribute 25,attribute 26,attribute 27,attribute 28,attribute 29,attribute 30,attribute 31,attribute 32,attribute 33,attribute 34,attribute 35,attribute 36,attribute 37,attribute 38,attribute 39
2.803841099,-0.820530002,0.10232123,-1.793802386,0.841138344,-0.249053047,0.180301618,-0.004150522,0.956171153,-1.006457928,-1.208023703,0.847260716,0.330064517,-0.19968275,-0.810360208,-1.033577394,-0.424895272,0.780749831,0.372454671,0.781360468,1.641232681,-0.042076392,-0.000541908,-0.472382028,-0.643657557,0.276749914,0.531952198,-0.792714924,0.719323953,0.407460769,0.22386004,-0.348506678,-0.205783528,-0.347529649,1.134989062,-0.432732253,-0.106597137,0.031662075,-0.123551483,-0.345358256
3.615974985,-0.366758029,-0.355648758,-0.659004199,-0.009964222,-1.287221902,-0.003625214,-0.193797999,0.46268738,-0.800146347,-0.474176972,-1.013313106,-0.171426236,0.354241113,-0.15364839,0.411811114,0.759269332,-0.697593268,1.032211958,0.972546124,0.070660006,-0.150376569,-1.045543677,0.014194678,-0.402428386,-0.730556296,-0.266869007,-0.354590011,0.156330765,-0.264183381,-0.118521466,0.370473563,0.010427279,0.383461947,0.564914551,-0.642280537,-0.230133925,0.242885808,0.679070605,0.201510923
0.718023203,5.717700497,4.075381661,1.703095782,1.560837171,-0.36796618,0.650826768,2.979334816,0.948631067,0.766725088,0.211708259,0.78617864,-0.438589564,-0.938743569,0.387269859,-0.586318235,-0.505560019,0.234107679,-0.097089506,-0.377343699,-0.768492893,-0.441764673,0.287369989,-0.011052178,-0.434633916,0.23887002,-0.137919666,0.291735931,-0.26016702,0.218258867,-0.599556195,0.182473033,-0.268318846,0.097158877,-0.172381441,0.058658235,0.178800827,-0.368480899,0.249220741,0.255579938
-8.329993921,-0.6322476,0.0953507,-0.660299946,-0.168829399,0.029926064,-0.64710665,-0.341992985,0.655362497,0.328391469,0.095017237,0.64452575,-0.62213564,-1.045587285,-0.112498604,-0.295898582,0.720798413,-0.013167399,0.22990626,-0.673147844,-0.336492427,0.245293434,-0.337453532,-0.15456458,0.422804037,0.286045335,0.513564279,0.430902731,-0.158142004,0.180165481,0.084441523,0.362090059,0.095560772,0.957185601,0.025203349,-0.014984284,-0.186338093,-0.053726569,0.445920889,-0.174024751
-0.438782208,-0.589825758,-0.091673556,-0.383082978,0.037801444,0.275505464,0.782133725,0.041601233,-0.620189948,-0.863082672,-0.942345041,0.112999254,0.981522087,-1.063625174,-0.411705135,-0.011690359,-0.91848966,-0.40991111,0.304447326,0.359093475,0.27307332,-0.498999077,-0.674118554,0.634335622,-0.19277484,0.15649656,0.453247523,-0.603346768,0.949027375,0.028280222,-0.103838205,-0.134654278,-0.168375167,0.223769325,-0.076818544,-0.244064023,-0.480693856,0.109937664,0.068444264,-0.397595365
-0.408581275,-2.010644139,-0.414690628,-0.366747108,0.34747755,-0.530765773,0.238112625,-1.02553175,1.03980103,-0.938949058,-0.354093492,-0.226732154,0.201170651,-0.14091464,0.436192747,0.404505096,-1.128700471,-0.327403133,0.714091757,-0.619758354,0.238256409,-1.014850205,0.004836838,0.10504365,-1.059261927,-0.012623581,-0.704468134,-0.752849234,-0.229035407,-0.560397274,-0.465191433,0.499007631,0.258807018,-0.257069749,-0.307602269,0.225874594,-0.01353335,0.259425753,-0.385765568,0.231327259
4.412169964,-1.394003153,-1.384525044,-0.133121341,-0.038176922,-0.989007401,-1.714355681,-0.184654571,0.106317782,-1.197549193,-0.343467728,0.336768877,-0.335642287,0.714568095,0.410893437,-1.295200218,-0.466586768,-0.444387194,-0.643962722,0.060051865,-1.13264494,-0.757602576,-0.205549575,0.120496985,-0.060686522,-0.110128546,0.968268422,-0.495246621,-0.272173662,-0.17070923,-0.676081475,0.384199236,0.513470915,0.224228958,-0.326655068,0.097833833,-0.151541798,-0.283987172,-0.374379234,-0.380320536
-8.673489204,-1.265595155,-0.454068219,-0.301321598,0.549883324,-0.196610563,-0.51250312,-0.655112818,0.714362756,0.822700131,0.854219966,0.356236826,-0.4406978,-0.438010192,0.773908897,-0.564880771,-1.174105612,-0.416346427,-0.447688651,0.609734228,0.136712056,0.416025213,-0.742345191,0.045436744,-0.370206676,-0.537463959,0.491557548,0.390397173,0.26658068,-0.755079609,0.621032195,-0.048443042,0.178774825,-0.014053777,0.06846623,-0.442054942,-0.061653043,-0.372204967,-0.101738866,0.302103844
8.969706096,-0.301727855,0.574308008,1.166899483,-0.577214517,0.935353826,0.343444941,0.298759339,-0.069055674,0.898147833,0.386905346,0.449217556,0.466253794,-0.152732949,-0.690258766,0.514648582,0.433940926,0.437156156,0.087629367,0.631080179,0.964814065,1.421027929,0.34311362,-0.721006571,-0.304743344,0.374665618,0.033219373,-0.051566018,-0.2196776,0.495669352,-0.103615409,-0.745488549,-0.638800959,0.012683683,-0.414653055,0.126714637,0.059061276,-0.044330143,0.028690237,-0.134435927
0.350706944,-0.856299899,-0.227742823,0.866807196,-0.458892627,0.861007646,-1.015807503,-0.020536571,-1.455066807,0.645847939,-0.690802751,-0.339329916,1.139823771,-0.269080511,0.385048128,0.828796636,-1.007302411,0.004067908,-0.173369559,-0.504229465,-0.088083425,0.076815266,-1.566041707,0.074421913,0.498099201,-0.002780313,0.512359013,-0.460748094,0.054426342,-0.246656056,0.015921348,-0.007908372,-0.029734775,0.369711341,0.337214227,0.467681302,-0.236656245,0.410231719,-0.039926748,0.033278662
-4.11043034,-0.792382281,1.589415338,-0.891627133,0.10200504,1.230867103,0.826343336,-0.164465602,0.764961785,0.215865549,0.388746905,1.689038514,0.556603556,0.096109935,0.082587555,0.128959083,-0.528870522,1.523794505,-0.421293615,0.069418912,-0.16081852,-0.434463769,0.053683976,0.848293215,0.10239356,-0.100087102,-0.163758905,-0.637126912,0.472925481,-0.392855196,0.523977122,0.624264208,0.189976507,0.303377993,-0.204489092,0.101317657,-0.609528272,-0.639135827,-0.336447919,0.046665279
-5.379507562,-0.637397914,-0.044374444,-0.337343952,0.25867525,-0.514689733,1.441685459,0.037453568,-0.42840188,0.929937279,-0.227013195,0.154224397,-0.330673472,0.581680689,-0.122318664,0.909512438,0.116549145,-1.324154286,0.599474545,-0.172128828,-0.303376698,0.503894877,0.86067268,0.908685945,-0.348617739,-0.837304868,-0.730769532,0.376389417,0.629747332,0.190852553,-0.301760136,0.409635905,0.367935815,0.154594228,0.142315781,-0.164763998,-0.253140287,-0.021960851,-0.287756785,0.017958102
10.56245942,-2.214088415,0.362175457,1.79558231,-0.614676421,0.303554722,-0.278890815,0.413223665,-0.206743189,-0.362383944,0.048501533,0.155233463,0.757392313,0.378923253,-0.158338348,0.291950898,-0.355017378,0.09096451,0.305260592,-0.848675419,0.708869712,0.018965069,-0.01779113,-0.2411571,-1.243827075,-1.09995746,-0.094062672,-0.010237266,-0.330576286,-0.129960516,-0.419851944,0.067183712,-0.22571531,0.318134595,-0.208051955,0.159240271,-0.594697699,0.28403704,0.294559102,-0.008083461
-0.087726584,-0.800339548,-0.882916915,0.143528059,-0.05215165,-0.183629912,0.929566206,0.360363544,0.363387981,1.319868005,0.593062625,0.715704879,-0.329793042,0.637942275,-0.696190807,0.80577333,0.226915077,-0.353176466,0.259881334,0.288758358,0.954685031,1.84242352,0.159898556,0.917521189,-0.370150809,-0.284059903,0.109716037,-0.497134141,-0.264875713,-0.01018111,0.702258831,0.088748524,0.526915935,-0.285881995,-0.134001561,0.099838159,0.850752276,0.004625655,-0.025702258,-0.387326222
3.736749582,-1.380908482,-0.420876947,-0.509236009,0.635678186,-0.247760466,-1.309206466,0.13553596,0.202332157,-1.277763326,-0.958311364,-0.215346638,-0.183144262,-1.322514791,0.268532182,-0.316955894,0.222815567,-0.097929238,-0.789380221,-0.639323836,0.862531532,-0.986751536,-0.126560907,-0.922849122,-0.18608735,0.554663902,-0.161621527,-0.277625823,-0.168521545,0.629269012,-0.188374934,0.505589265,0.655118734,0.022607331,-0.352906619,-0.25637866,0.269323118,0.858689761,0.075899882,-0.257191311
-6.765923921,-0.362813474,0.48646245,-1.038377528,0.145674334,-0.412354848,0.241823913,0.584431975,-0.424123619,1.275484673,-1.244546915,-0.195523733,0.29010047,-0.511201757,-0.539889572,-0.513083739,1.498423842,-0.108781051,0.323667243,-0.635168599,0.693297756,0.301094622,0.432515207,0.543687949,-0.553123295,0.141842343,0.527291749,0.489286844,0.084144014,0.312859011,-0.72972885,-0.000873018,-0.048541154,0.621640786,-0.58693965,-0.565232774,0.361316333,-0.708018295,0.359219393,-0.140196758
-0.327595781,-1.560691519,0.126195612,-0.12652964,0.493425514,0.210361468,-0.217052122,-0.573153397,1.2175914,1.355026203,0.961583982,-0.203757297,0.939330334,0.688247028,0.521567312,0.577534672,0.869781225,0.059573407,0.179046075,-0.554666673,0.187212315,-0.549458709,-0.277312117,-0.416232889,-0.652286294,-0.155845825,0.04598656,-0.567884052,0.567024633,0.40855776,-0.488134078,0.071978779,-0.029180329,-0.220601419,-0.149220758,0.239997287,-0.275734015,-0.472241672,-0.49160711,-0.195198903
6.280855668,-1.713931696,0.041075851,0.130223775,-0.60930101,-0.424093831,1.651626832,0.190465078,1.051442632,1.210836244,0.566536641,0.485867752,0.089550712,-0.110143419,0.274631914,-0.809594152,0.013374651,0.272568304,0.484827984,1.262830662,-0.108247549,0.671541154,-0.174493182,0.197769988,-0.611071378,0.259837557,0.349507507,0.788393996,-0.0071538,-0.382619013,-0.210729642,0.328800498,0.335231861,0.60084409,0.084566509,0.343241883,-0.105328074,-0.192133716,0.217153223,-0.227748048
0.128447094,-1.453131467,0.310880192,-0.306939812,0.447998691,-0.415289457,-1.845999447,-0.53444998,-0.559775128,-1.482082875,0.368130815,0.775596815,0.395897989,0.767474576,0.524289048,0.280905498,0.523563751,0.414308529,-1.017755391,0.644362222,-0.0450873,0.392439848,0.436007618,-0.932618261,0.201833433,-0.415676398,0.138626442,0.189111253,0.176206589,-0.56347511,-0.196813894,0.371209505,0.600820515,-0.077772993,0.221043617,-0.131090879,0.352256548,0.224014761,0.223766609,0.329669512
-4.234655354,-1.852529226,0.001848917,2.096950932,-0.651468047,-1.543479723,-1.222249493,-1.42242772,0.125219208,0.907452105,-1.587959436,-0.659123753,-0.627757392,-0.748018434,1.104949485,1.27858889,-0.049049786,0.746036282,-0.196402459,0.333972986,-0.402234998,-0.220371772,-0.421508739,-0.037567732,1.132995541,0.83547244,0.290019938,0.337441374,0.528544055,-0.545949277,-0.401266132,0.701217062,-0.700612208,0.494528346,-0.169924854,0.073291737,0.873458041,-0.218183556,0.198484044,0.144463302
