attribute 0,attribute 1,attribute 2,attribute 3,attribute 4
5.433859478,-1.287338557,-0.708348311,-2.073824365,2.88831538
9.137584986,-1.655022634,0.546024845,1.238516561,-1.393254667
7.75239342,-1.497514074,0.289664263,-1.915974319,0.424579738
4.891836046,-1.329664581,-0.669917428,0.302298274,-0.299475637
-0.530704194,4.813805382,-3.362719969,-1.37728895,-2.174684745
3.892937559,-0.335899355,-0.012501296,-1.722097538,1.712629665
3.481091473,-1.133253428,-0.22814625,-0.375519022,0.500514729
-0.321751216,1.743680192,7.742192423,-1.725245299,-3.886380029
4.277264913,-0.870800405,-0.891700417,0.815246087,0.244161634
0.000861953,0.276248608,-0.427791139,-0.197080608,0.439892954
4.581323148,-0.181950432,-2.035166168,-0.103224674,-0.049104102
0.431994269,4.779846682,-4.294612834,-1.549368797,-1.722659744
-6.420254283,-0.880158941,0.738123615,2.47199189,-2.505298778
-7.660612536,-1.582170859,-0.477923586,-0.619490472,0.142478748
-4.446673796,0.740274718,-0.53137313,-0.786509315,0.274459579
4.779082779,-2.209772369,-0.407032991,-1.757512049,1.690578796
10.02331683,-0.449961704,1.753182291,0.344629408,-0.930459656
7.615767669,1.017149479,0.018362319,0.56497595,-0.193381575
-4.807531446,-1.713667452,-0.42886869,3.250180412,-1.327296142
-6.329709547,-1.498362036,0.774142783,-0.477228549,0.699566552
-7.621141678,-0.685885752,0.065706363,2.15983284,0.86118997
2.803841099,-0.820531457,0.102296675,-1.793715104,0.841592121
-10.05198953,-0.723541415,-0.018289145,-0.866147809,0.878320072
-8.268055696,0.265653776,-0.390290451,-0.918407604,0.568447563
-0.762219187,6.215251768,-1.644478426,1.129670566,2.856445524
-6.243736924,-2.721298662,0.189026326,2.946003594,-1.785727595
-1.142776181,7.269078869,-2.452925611,0.237098929,1.278176575
0.502517371,1.474617412,6.216571255,-2.118215045,-3.630514633
-4.614458654,-0.876107682,-0.23296587,3.799279832,-0.442511149
-10.53852079,-0.982278018,-0.546899568,-1.737545608,2.179096637
-0.533827569,5.867327018,5.96531566,0.489963897,0.810358371
-6.092533344,-2.093838189,-0.443815796,3.148228445,-0.850101855
-0.81978601,1.384062704,7.844021006,-2.982355454,-3.981805503
0.019590361,-0.960620638,-0.144364769,0.356439838,-0.154805832
-8.080225669,-1.240730483,1.417073773,0.183291923,0.795682845
-6.558967415,-0.590158284,-1.540846933,3.457684346,-3.206239805
9.469130947,-1.770840063,0.171430513,0.88640842,-0.521860199
6.033717759,-1.132618731,0.178327615,0.195917593,-0.313074948
2.615268274,-0.927810473,0.094616158,-1.981751259,0.643067217
4.56823091,0.9391726,0.222282383,-0.670017142,-0.506709045
0.591305519,3.987621389,-3.318732885,-1.127111442,-2.393875682
