@relation <train.arff>
@ATTRIBUTE Attribute_1 NUMERIC
@ATTRIBUTE Attribute_2 NUMERIC
@ATTRIBUTE Attribute_3 NUMERIC
@ATTRIBUTE Attribute_4 NUMERIC
@ATTRIBUTE Attribute_5 NUMERIC
@ATTRIBUTE Attribute_6 NUMERIC
@ATTRIBUTE Attribute_7 NUMERIC
@ATTRIBUTE Attribute_8 NUMERIC
@ATTRIBUTE Attribute_9 NUMERIC
@ATTRIBUTE Attribute_10 NUMERIC
@ATTRIBUTE Attribute_11 NUMERIC
@ATTRIBUTE Attribute_12 NUMERIC
@ATTRIBUTE Attribute_13 NUMERIC
@ATTRIBUTE Attribute_14 NUMERIC
@ATTRIBUTE Attribute_15 NUMERIC
@ATTRIBUTE Attribute_16 NUMERIC
@ATTRIBUTE Attribute_17 NUMERIC
@ATTRIBUTE Attribute_18 NUMERIC
@ATTRIBUTE class {0,1,2,3}
@data
35.00,11246.00,4194067.00,12.00,110184.00,60.00,128.00,65.00,105.00,101.00,105.00,93.00,39.00,112623.00,526816.00,5.00,5.00,5.00,1
27.00,4172.00,4569330.00,12.00,134921.00,105.00,91.00,100.00,107.00,107.00,70.00,124.00,30.00,1054696.00,124959.00,66450.00,577326.00,613858.00,3
32.00,10244.00,4876785.00,11.00,128030.00,67.00,52.00,49.00,57.00,104.00,111.00,60.00,39.00,516399.00,1019068.00,635671.00,708711.00,795839.00,2
32.00,11879.00,4245364.00,12.00,200317.00,98.00,39.00,56.00,78.00,58.00,78.00,94.00,44.00,523141.00,947316.00,397555.00,655461.00,393094.00,1
34.00,4993.00,4895264.00,10.00,100018.00,121.00,69.00,121.00,90.00,65.00,124.00,83.00,45.00,37755.00,1147309.00,5.00,5.00,5.00,0
32.00,9645.00,4922858.00,14.00,171427.00,51.00,61.00,41.00,50.00,119.00,123.00,74.00,42.00,1085202.00,1177147.00,5.00,5.00,5.00,3
31.00,4752.00,4495640.00,10.00,139079.00,63.00,126.00,128.00,59.00,111.00,75.00,93.00,29.00,960448.00,102456.00,747215.00,740439.00,539366.00,3
35.00,7425.00,4248807.00,14.00,112132.00,99.00,84.00,52.00,109.00,81.00,5.00,5.00,5.00,655330.00,634536.00,288194.00,5.00,5.00,1
34.00,4636.00,4046684.00,13.00,103682.00,120.00,103.00,117.00,128.00,52.00,107.00,107.00,36.00,35448.00,209153.00,592915.00,76527.00,133052.00,3
25.00,3753.00,3932150.00,15.00,145639.00,69.00,48.00,85.00,70.00,40.00,67.00,70.00,24.00,309753.00,468509.00,91107.00,656895.00,763256.00,1
24.00,7730.00,4627740.00,11.00,180703.00,42.00,124.00,67.00,90.00,56.00,46.00,127.00,32.00,1174355.00,1039853.00,531640.00,720118.00,13809.00,3
28.00,7987.00,4322809.00,11.00,130395.00,78.00,111.00,51.00,70.00,103.00,51.00,72.00,24.00,1012628.00,1021976.00,300144.00,118634.00,38428.00,3
35.00,8535.00,4842528.00,11.00,184346.00,91.00,74.00,87.00,106.00,86.00,112.00,43.00,29.00,241041.00,415836.00,450550.00,806669.00,59120.00,1
29.00,9708.00,3899932.00,15.00,163032.00,77.00,95.00,98.00,60.00,126.00,87.00,64.00,24.00,655686.00,686049.00,751887.00,719552.00,275995.00,2
27.00,7710.00,4255697.00,13.00,96213.00,47.00,68.00,62.00,121.00,101.00,41.00,116.00,32.00,462689.00,1120865.00,793701.00,731426.00,301716.00,3
32.00,7056.00,4930753.00,12.00,97894.00,123.00,83.00,72.00,49.00,110.00,108.00,40.00,22.00,908392.00,157687.00,422653.00,425908.00,61959.00,3
25.00,10393.00,3861675.00,13.00,156095.00,85.00,70.00,42.00,63.00,72.00,128.00,79.00,32.00,488111.00,579154.00,372958.00,573360.00,437164.00,1
30.00,4744.00,4324337.00,13.00,138096.00,70.00,49.00,118.00,118.00,39.00,126.00,48.00,28.00,1016729.00,942446.00,5.00,5.00,5.00,1
23.00,10393.00,4308638.00,11.00,184113.00,93.00,56.00,40.00,124.00,101.00,50.00,90.00,33.00,271349.00,206329.00,151217.00,307729.00,174523.00,0
30.00,4418.00,4651439.00,10.00,184013.00,82.00,75.00,53.00,75.00,95.00,96.00,44.00,32.00,232668.00,880198.00,175039.00,181268.00,184145.00,2
22.00,3782.00,4944654.00,11.00,225389.00,70.00,100.00,56.00,45.00,97.00,126.00,101.00,33.00,320850.00,130408.00,195055.00,117800.00,598509.00,2
33.00,9143.00,4363173.00,11.00,225282.00,92.00,49.00,40.00,50.00,127.00,84.00,79.00,45.00,510899.00,85267.00,5.00,5.00,5.00,2
23.00,7983.00,4872198.00,10.00,217563.00,106.00,127.00,94.00,89.00,98.00,80.00,61.00,35.00,727811.00,465753.00,382922.00,775458.00,24476.00,1
30.00,5030.00,4357068.00,13.00,214651.00,85.00,51.00,53.00,83.00,93.00,75.00,86.00,40.00,809209.00,267113.00,295682.00,446380.00,129275.00,3
30.00,10042.00,4396919.00,14.00,162735.00,80.00,121.00,113.00,54.00,83.00,113.00,93.00,45.00,750174.00,263170.00,244360.00,365293.00,435311.00,0
25.00,7147.00,4747096.00,13.00,211312.00,96.00,61.00,67.00,97.00,112.00,127.00,57.00,26.00,1156943.00,736293.00,273745.00,546837.00,215065.00,0
22.00,6315.00,4246487.00,12.00,194462.00,67.00,125.00,74.00,122.00,68.00,126.00,118.00,29.00,474335.00,890736.00,9393.00,276795.00,50449.00,1
29.00,3486.00,4035892.00,10.00,203958.00,110.00,90.00,55.00,72.00,92.00,81.00,125.00,24.00,804997.00,69951.00,191203.00,417475.00,805061.00,0
22.00,5857.00,4683300.00,12.00,124637.00,102.00,55.00,68.00,90.00,78.00,122.00,106.00,39.00,683841.00,1185549.00,5.00,5.00,5.00,0
32.00,10592.00,4601724.00,14.00,129472.00,41.00,58.00,120.00,58.00,41.00,114.00,104.00,32.00,55490.00,780290.00,375294.00,44343.00,369268.00,2
28.00,3009.00,4354206.00,14.00,95604.00,69.00,58.00,62.00,50.00,60.00,84.00,114.00,31.00,961292.00,71146.00,28241.00,31034.00,1417.00,1
30.00,11235.00,3821231.00,10.00,136094.00,56.00,77.00,114.00,97.00,126.00,57.00,112.00,30.00,1056407.00,363421.00,89073.00,571861.00,319366.00,3
26.00,11518.00,4107332.00,10.00,208469.00,60.00,59.00,114.00,78.00,44.00,96.00,95.00,34.00,876571.00,730498.00,471986.00,104043.00,248731.00,2
29.00,6569.00,4563519.00,15.00,133792.00,66.00,39.00,101.00,60.00,118.00,90.00,48.00,29.00,908440.00,1012473.00,5.00,5.00,5.00,3
24.00,11933.00,4447705.00,13.00,121577.00,71.00,74.00,76.00,104.00,119.00,58.00,117.00,44.00,1109982.00,637970.00,5.00,5.00,5.00,0
24.00,7699.00,4891734.00,12.00,184363.00,105.00,52.00,40.00,58.00,65.00,71.00,78.00,36.00,1007237.00,335604.00,608574.00,414363.00,610603.00,1
29.00,3528.00,4129056.00,12.00,225723.00,117.00,123.00,95.00,62.00,120.00,98.00,114.00,33.00,724116.00,832591.00,5.00,5.00,5.00,2
27.00,5500.00,3977714.00,14.00,203489.00,119.00,44.00,57.00,112.00,109.00,104.00,56.00,33.00,936761.00,737542.00,227389.00,410164.00,636763.00,2
26.00,7519.00,4004770.00,14.00,120276.00,103.00,69.00,117.00,49.00,109.00,51.00,72.00,24.00,27748.00,26770.00,543368.00,338544.00,340508.00,3
25.00,4023.00,4861445.00,12.00,114091.00,55.00,112.00,91.00,84.00,74.00,55.00,101.00,43.00,601591.00,1038445.00,509476.00,203705.00,242591.00,0
25.00,8201.00,4523001.00,11.00,163863.00,77.00,62.00,122.00,100.00,104.00,64.00,39.00,41.00,331846.00,1037643.00,5.00,5.00,5.00,0
34.00,7110.00,4478346.00,10.00,143055.00,114.00,93.00,116.00,95.00,97.00,53.00,46.00,32.00,498036.00,1158264.00,623822.00,57320.00,615639.00,1
34.00,10950.00,4330757.00,11.00,105501.00,40.00,115.00,114.00,128.00,122.00,85.00,89.00,31.00,562845.00,789832.00,2744.00,222229.00,81129.00,2
34.00,6652.00,4413983.00,15.00,94497.00,121.00,104.00,96.00,99.00,57.00,60.00,96.00,36.00,800465.00,437624.00,350512.00,107696.00,588472.00,2
27.00,7479.00,4493135.00,15.00,181352.00,43.00,105.00,116.00,102.00,117.00,47.00,94.00,37.00,321415.00,124224.00,602267.00,438987.00,638131.00,3
30.00,6813.00,4085197.00,13.00,168262.00,83.00,74.00,97.00,62.00,98.00,53.00,124.00,26.00,713842.00,623353.00,640275.00,218321.00,708492.00,1
34.00,4575.00,3818404.00,15.00,148304.00,48.00,77.00,77.00,100.00,50.00,121.00,105.00,29.00,683773.00,1104168.00,5.00,5.00,5.00,2
33.00,5278.00,4931701.00,11.00,175746.00,40.00,86.00,115.00,122.00,39.00,108.00,108.00,25.00,539489.00,1125545.00,690234.00,609065.00,26925.00,2
31.00,5850.00,4340278.00,14.00,176808.00,75.00,80.00,110.00,114.00,49.00,46.00,104.00,27.00,453585.00,1156213.00,701388.00,580256.00,90568.00,0
34.00,9486.00,3879678.00,11.00,163943.00,102.00,69.00,124.00,74.00,114.00,65.00,40.00,29.00,565349.00,1022745.00,732634.00,628541.00,122552.00,2
29.00,7901.00,3962499.00,12.00,148257.00,120.00,98.00,76.00,70.00,74.00,88.00,64.00,31.00,233603.00,424146.00,805636.00,626485.00,565092.00,1
24.00,8763.00,4397249.00,14.00,219897.00,85.00,93.00,100.00,91.00,82.00,82.00,52.00,37.00,552000.00,131754.00,659356.00,522593.00,205835.00,3
35.00,7964.00,4504456.00,13.00,106590.00,106.00,109.00,62.00,57.00,72.00,104.00,101.00,32.00,404759.00,655201.00,46264.00,185799.00,363462.00,3
28.00,5014.00,4542579.00,10.00,185343.00,105.00,119.00,108.00,89.00,115.00,104.00,70.00,31.00,696615.00,627944.00,5.00,5.00,5.00,0
23.00,11612.00,4140704.00,15.00,206742.00,77.00,53.00,46.00,94.00,113.00,65.00,41.00,24.00,245311.00,121674.00,5.00,5.00,5.00,2
25.00,8484.00,4469401.00,13.00,141287.00,41.00,110.00,111.00,101.00,62.00,99.00,110.00,42.00,54007.00,20457.00,5.00,5.00,5.00,3
29.00,4660.00,4399071.00,15.00,115741.00,121.00,116.00,104.00,114.00,74.00,92.00,57.00,45.00,802878.00,707086.00,587814.00,759084.00,664535.00,0
22.00,9629.00,4074879.00,11.00,226428.00,81.00,110.00,56.00,71.00,103.00,68.00,58.00,24.00,1145388.00,500886.00,234359.00,12702.00,364503.00,3
34.00,8771.00,4135436.00,12.00,146407.00,86.00,66.00,49.00,64.00,110.00,98.00,52.00,38.00,1059759.00,856417.00,683912.00,518155.00,191207.00,1
31.00,6627.00,4358654.00,11.00,104641.00,115.00,50.00,86.00,117.00,121.00,105.00,80.00,33.00,1112537.00,609695.00,260786.00,33043.00,175498.00,3
28.00,10253.00,4257606.00,15.00,133259.00,108.00,40.00,60.00,116.00,46.00,68.00,78.00,22.00,67860.00,578634.00,366978.00,140468.00,672050.00,2
34.00,7769.00,4656389.00,15.00,115714.00,51.00,101.00,85.00,58.00,55.00,88.00,46.00,43.00,668304.00,210814.00,5.00,5.00,5.00,2
32.00,11507.00,4165603.00,14.00,222874.00,127.00,122.00,106.00,105.00,88.00,111.00,111.00,36.00,1133727.00,1111871.00,421304.00,437544.00,124609.00,1
34.00,4583.00,4679641.00,15.00,161236.00,125.00,78.00,72.00,115.00,118.00,84.00,64.00,34.00,522634.00,1067130.00,5.00,5.00,5.00,1
29.00,11852.00,4638244.00,15.00,105121.00,67.00,62.00,110.00,123.00,96.00,60.00,73.00,28.00,704914.00,616410.00,5.00,5.00,5.00,1
34.00,3189.00,4400982.00,13.00,132792.00,128.00,63.00,100.00,49.00,122.00,68.00,128.00,22.00,121477.00,628066.00,5.00,5.00,5.00,2
35.00,5200.00,3852147.00,12.00,96690.00,56.00,80.00,82.00,47.00,75.00,46.00,39.00,37.00,1199051.00,921153.00,406187.00,114167.00,129169.00,2
27.00,4961.00,4213278.00,11.00,220312.00,67.00,122.00,127.00,112.00,82.00,113.00,85.00,23.00,836485.00,338323.00,368262.00,256360.00,179681.00,2
32.00,5959.00,3823835.00,13.00,206072.00,121.00,74.00,115.00,75.00,43.00,95.00,119.00,32.00,375855.00,129826.00,649702.00,415540.00,78167.00,3
29.00,7794.00,4671730.00,10.00,194572.00,101.00,61.00,90.00,68.00,64.00,80.00,96.00,22.00,503313.00,435655.00,737132.00,27302.00,33723.00,2
34.00,8195.00,4590360.00,11.00,162297.00,111.00,127.00,71.00,42.00,83.00,110.00,100.00,34.00,1027177.00,192526.00,238539.00,161085.00,686202.00,2
24.00,11477.00,4183724.00,10.00,129449.00,119.00,77.00,56.00,107.00,124.00,72.00,117.00,42.00,1044208.00,634409.00,259595.00,375777.00,222771.00,0
24.00,9435.00,4116304.00,13.00,130342.00,79.00,63.00,110.00,54.00,41.00,102.00,41.00,27.00,1010649.00,1152238.00,93316.00,639465.00,63629.00,0
26.00,3111.00,4885943.00,13.00,212363.00,60.00,89.00,125.00,92.00,94.00,92.00,59.00,34.00,134330.00,1163577.00,5.00,5.00,5.00,1
32.00,6421.00,4422543.00,12.00,115100.00,94.00,97.00,72.00,86.00,116.00,95.00,124.00,41.00,807705.00,1069507.00,640755.00,618230.00,129346.00,2
27.00,9532.00,4588105.00,15.00,162564.00,57.00,78.00,116.00,114.00,40.00,56.00,95.00,25.00,670969.00,1158751.00,706532.00,259979.00,190526.00,0
31.00,8088.00,4222342.00,15.00,108599.00,59.00,87.00,62.00,101.00,90.00,39.00,40.00,37.00,18389.00,909038.00,5.00,5.00,5.00,1
28.00,11705.00,4996370.00,10.00,185504.00,96.00,93.00,111.00,97.00,99.00,123.00,63.00,34.00,361223.00,411110.00,148214.00,286576.00,187035.00,0
28.00,10765.00,5004660.00,14.00,147139.00,116.00,65.00,99.00,108.00,83.00,87.00,101.00,37.00,814601.00,795653.00,42010.00,750251.00,89677.00,0
26.00,10935.00,4688194.00,10.00,169395.00,115.00,58.00,61.00,95.00,73.00,104.00,41.00,34.00,23179.00,1573.00,708711.00,184726.00,434971.00,3
30.00,10764.00,4812258.00,11.00,139599.00,115.00,101.00,45.00,66.00,49.00,119.00,116.00,44.00,466971.00,224125.00,682556.00,178806.00,217514.00,1
24.00,9941.00,4897095.00,15.00,125236.00,67.00,53.00,76.00,125.00,74.00,48.00,70.00,39.00,52625.00,832107.00,5.00,5.00,5.00,3
33.00,10785.00,4507140.00,12.00,172601.00,100.00,51.00,108.00,101.00,59.00,83.00,107.00,44.00,775755.00,74999.00,5.00,5.00,5.00,2
32.00,8929.00,4366253.00,14.00,184611.00,95.00,109.00,59.00,39.00,93.00,57.00,68.00,39.00,1108576.00,1167783.00,719184.00,601670.00,810056.00,0
26.00,6539.00,4025356.00,15.00,191900.00,56.00,95.00,120.00,105.00,41.00,61.00,81.00,37.00,305652.00,1166919.00,5.00,5.00,5.00,2
30.00,10244.00,4264562.00,15.00,153920.00,45.00,95.00,43.00,81.00,124.00,63.00,80.00,33.00,450469.00,919299.00,5.00,5.00,5.00,2
23.00,10407.00,3920665.00,14.00,202697.00,111.00,105.00,117.00,89.00,101.00,49.00,44.00,22.00,1008118.00,11930.00,5.00,5.00,5.00,2
22.00,7794.00,4891327.00,15.00,198601.00,83.00,67.00,48.00,127.00,81.00,113.00,87.00,30.00,132908.00,767947.00,612530.00,142653.00,415691.00,3
26.00,10497.00,4717226.00,12.00,222288.00,123.00,96.00,77.00,68.00,107.00,43.00,121.00,25.00,1107098.00,679732.00,3143.00,189694.00,551441.00,3
27.00,9520.00,4266558.00,12.00,126763.00,75.00,123.00,120.00,81.00,57.00,47.00,91.00,42.00,23208.00,18106.00,147548.00,650332.00,663140.00,1
23.00,5088.00,3960875.00,12.00,221265.00,62.00,61.00,61.00,121.00,115.00,54.00,103.00,36.00,1143463.00,540861.00,199394.00,397722.00,793939.00,3
30.00,10015.00,4591064.00,15.00,219920.00,88.00,114.00,47.00,89.00,52.00,102.00,84.00,40.00,123321.00,412032.00,562783.00,179355.00,616719.00,0
22.00,8267.00,4007346.00,10.00,110591.00,112.00,101.00,63.00,55.00,81.00,51.00,114.00,42.00,507332.00,475680.00,695130.00,121891.00,780521.00,2
35.00,9577.00,4613449.00,12.00,137042.00,116.00,45.00,42.00,118.00,101.00,73.00,110.00,31.00,277237.00,290842.00,200991.00,628851.00,734810.00,2
27.00,9388.00,4104168.00,11.00,151469.00,54.00,105.00,56.00,95.00,128.00,97.00,117.00,30.00,1022653.00,985002.00,322934.00,632208.00,337717.00,1
33.00,4178.00,4621191.00,12.00,151522.00,113.00,49.00,95.00,107.00,116.00,5.00,5.00,5.00,571148.00,661346.00,5.00,735945.00,558829.00,3
